_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
1,Eatonville Care Centre,420 The East Mall,LTCH,Respiratory,Influenza A (Not subtyped),,2018-12-31,2019-01-25,N
2,Princess Margaret Hospital - 15B,610 Universtiy Ave,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,,2018-12-31,2019-01-08,N
3,Villa Colombo - 4th Fl Fusco,40 Playfair Ave,LTCH,Enteric,Unable to identify,,2018-12-29,2019-01-12,N
4,Hellenic Home  (Scarborough) - 2A & 3A,2411 Lawrence Ave E,LTCH,Enteric,Norovirus-like,,2018-12-28,2019-01-16,N
5,Hillcrest Reactivation Centre - 2nd Fl,47 Austin Terr,Hospital-Chronic Care,Respiratory,Unable to identify,,2018-12-28,2019-01-08,N
6,Mon Sheong Home for the Aged - 4th & 5th Fl,36 D'Arcy St,LTCH,Respiratory,Respiratory syncytial virus,,2018-12-27,2019-01-23,N
7,Labdara Lithuanian Nursing Home - 2nd Fl,5 Resurrection Rd,LTCH,Enteric,Unable to identify,,2018-12-27,2019-01-03,N
8,Scarborough Health Network - General Hospital - CP4,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2018-12-24,2018-12-30,N
9,Belmont House - 3WW,55 Belmont St,LTCH,Respiratory,Unable to identify,,2018-12-23,2019-01-04,N
10,The Rekai Centre at Sherbourne Place,345 Sherbourne St,LTCH,Respiratory,Influenza A (Not subtyped),,2018-12-22,2019-01-07,N
11,Cheltenham Care Community,5935 Bathurst St,LTCH,Enteric,Norovirus-like,,2018-12-21,2018-12-30,N
12,Providence Healthcare - B5 West,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2018-12-21,2018-12-30,N
13,Hospital for Sick Children - 6A,555 University Ave,Hospital-Acute Care,Enteric,Norovirus-like,,2018-12-19,2018-12-23,N
14,Providence Healthcare - Houses of Providence - 2nd Fl East,3276 St Clair Ave E,LTCH,Respiratory,Unable to identify,,2018-12-18,2018-12-30,N
15,Harmony Hills Care Community,1800 O'Connor Dr,LTCH,Respiratory,Respiratory syncytial virus,,2018-12-17,2019-01-12,N
16,Toronto Western Hospital - 8B,399 Bathurst St,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2018-12-17,2018-12-31,N
17,Rayoak Place,1340 York Mills Rd,Retirement Home,Respiratory,Respiratory syncytial virus,,2018-12-17,2018-12-31,N
18,Westside,1145 Albion Rd,LTCH,Respiratory,Unable to identify,,2018-12-15,2018-12-31,N
19,Princess Margaret Hospital - 15A,610 University Ave,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2018-12-15,2018-12-23,N
20,William Osler Health Centre - 7 West,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2018-12-13,2018-12-20,N
21,St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Enteric,Norovirus-like,,2018-12-13,2019-01-02,N
22,Village of Humber Heights Long Term Care,2245 Lawrence Ave W,LTCH,Enteric,Norovirus-like,,2018-12-12,2019-01-02,N
23,Holland Bloorview Kids Rehabilitation Hospital - BIRT,150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Enterovirus/Rhinovirus,Coronavirus,2018-12-10,2018-12-21,N
24,Providence Healthcare - B4 Rehab,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza A (H1N1),,2018-12-10,2018-12-19,N
25,Village of Humber Heights Retirement Residence,2245 Lawrence Ave W,Retirement Home,Enteric,Norovirus-like,,2018-12-10,2019-01-03,N
26,St. Michael's Hospital  - 7 CN,30 Bond St,Hospital-Acute Care,Other,CPE - Colonization,CPE - Infection,2018-12-10,2018-12-15,N
27,William Osler Health Centre - 7 East Cardiology Unit,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),,2018-12-08,2018-12-16,N
28,The O'Neill Centre - 2nd & 4th Fl,33 Christie St,LTCH,Respiratory,Unable to identify,,2018-12-06,2018-12-20,N
